Volume,Doors,Style
145,4,SUV
165,5,Van
113,4,Sedan
134,4,SUV
137,4,SUV
101,4,Sedan
168,4,SUV
128,4,SUV
88,4,Sedan
120,5,SUV
135,5,Jeep
104,4,Jeep
121,4,SUV
94,4,Sedan
132,4,Pickup
105,4,SUV
106,4,Sedan
134,4,SUV
136,5,SUV
130,4,Pickup
106,4,SUV
136,5,SUV
114,5,SUV
120,4,Pickup
118,4,Sedan
122,4,Pickup
115,4,Sedan
72,4,Jeep
134,5,SUV
122,4,Pickup
95,4,Jeep
102,4,Sedan
172,5,SUV
103,4,SUV
100,4,Sedan
109,4,SUV
110,5,Sedan
102,4,Sedan
104,3,Jeep
144,5,SUV
96,4,SUV
53,2,Jeep
115,4,Sedan
104,4,Sedan
135,4,SUV
97,4,Sedan
97,4,SUV
89,4,SUV
132,4,Pickup
112,4,Sedan
103,4,Sedan
106,4,SUV
99,4,Sedan
121,4,SUV
105,5,SUV
131,4,SUV
106,4,Sedan
132,4,Pickup
144,5,SUV
105,4,SUV
135,4,Pickup
160,5,Van
85,2,Sedan
171,4,SUV
95,4,Sedan
170,4,SUV
123,4,SUV
96,4,Sedan
300,5,Van
95,4,Sedan
122,4,SUV
94,4,Sedan
132,4,Pickup
122,4,Sedan
110,2,Sedan
97,4,Sedan
100,4,Sedan
167,5,SUV
145,4,SUV
112,4,Sedan
94,4,SUV
34,4,SUV
106,4,SUV
196,5,Van
123,4,SUV
144,4,SUV
152,5,SUV
120,4,Sedan
82,2,Sedan
150,4,Van
113,4,Sedan
120,4,Pickup
134,5,SUV
108,4,SUV
110,4,SUV
167,5,SUV
105,5,SUV
76,5,SUV
99,4,SUV
168,5,SUV
88,4,Sedan
192,5,Van
170,4,SUV
132,4,Pickup
98,4,Pickup
190,5,Van
92,4,SUV
137,5,SUV
144,4,SUV
121,4,Sedan
99,4,Sedan
136,4,Jeep
121,5,SUV
105,4,Sedan
117,4,SUV
140,4,SUV
105,4,Sedan
100,4,Sedan
134,4,Pickup
114,4,Sedan
94,4,Sedan
136,4,Jeep
107,4,SUV
110,4,Sedan
110,4,Sedan
97,4,Sedan
111,4,SUV
155,4,Sedan
